Modèle,Location,Count
145,Casablanca,1
190,Casablanca,1
205,Ain Harrouda,1
206+,Tit Mellil,1
220,Béni Mellal,1
220,Casablanca,2
220,Settat,1
3008,Kénitra,1
307,Youssoufia,1
310D,Taza,1
407,Meknès,1
500,Rabat,1
A3,Temara,1
A6,Agadir,1
ADAM,Casablanca,1
Accord,Rabat,1
Astra,Casablanca,1
Auris,Casablanca,1
Bora,Kénitra,1
C3,Rabat,1
C4,Casablanca,1
CLASSE GLC COUPE,Casablanca,1
Carens,Marrakech,1
Cayenne,Tanger,1
Classe C,Marrakech,1
Classe CLA,Marrakech,1
Classe CLS,Casablanca,1
Classe G,Oujda,1
Classe S,Tétouan,1
Clio,Fès,2
Clio,Salé,1
Corolla,Meknès,1
Corsa,Nador,1
Dokker Van,Fès,1
Duster,Casablanca,1
EXPRESS,Casablanca,1
Fiesta,Sefrou,1
Focus,Rabat,1
GOLF 4,Casablanca,1
GOLF 5,Casablanca,1
GOLF 6,Marrakech,1
GOLF 6,Mohammedia,1
GOLF 8,Tanger,2
Giulietta,Kénitra,1
Gol,Casablanca,1
Ibiza,El Jadida,1
Ibiza,Tanger,1
Jetta,Tétouan,1
K01h,Casablanca,1
Kangoo,Marrakech,1
Kyron,Oujda,1
Logan,Casablanca,1
Logan,Settat,1
Macan,Casablanca,1
Octavia,Agadir,1
Picanto,Casablanca,2
Polo,Agadir,1
Q5,Casablanca,1
Q5,Fès,1
Q5,Meknès,1
Q5,Rabat,1
Q8,Tanger,1
Qashqai,Casablanca,1
Qashqai,Khemisset,1
Qashqai,Marrakech,1
R4,Meknès,1
RAPID,Agadir,1
RS3,Tanger,1
Range Rover Evoque,Agadir,1
Range Rover Sport,Casablanca,2
Serie 5,Casablanca,1
Serie 7,Casablanca,1
Serie 8,Casablanca,1
Tiguan,Oujda,1
Tiguan,Tanger,1
Touareg,Rabat,1
Transit,Marrakech,1
Tucson,Casablanca,1
Uno,El Kelâa des Sraghna,1
X6,Casablanca,1
XF,Casablanca,1
classe_e_coupe,Casablanca,1
doblo_panorama,Fès,1
i 10,Tanger,1
i 30,Agadir,1
kona,Rabat,1
land_cruiser_prado,Tanger,1
one,Casablanca,1
pick up,Fès,1
serie_1_coupe,Salé,1
145,Urgent,1
C-ELYSEE,Casablanca,2
C3 Cactus,Rabat,2
C4,Temara,2
Classe C,Casablanca,2
Classe C,Temara,2
Classe CLA,Casablanca,2
Classe E,Casablanca,1
Classe GLE,Tanger,2
Clio,El Jadida,2
Clio,Fès,1
Golf,Casablanca,1
Grand Cherokee,Casablanca,2
Grand Cherokee,Rabat,1
Kuga,Rabat,2
Logan,Agadir,1
Logan,Rabat,2
Octavia,Casablanca,2
PASSAT CC,Rabat,1
Passat,Marrakech,1
Polo,Temara,1
Q8,Tanger,1
Qashqai,Casablanca,2
RS3,Tanger,1
RS4,Rabat,2
Range Rover Evoque,Marrakech,2
Range Rover Sport,Marrakech,1
Serie 1,Casablanca,2
Serie 1,الدار البيضاء,2
Serie 3,Casablanca,1
Tiguan,Tanger,2
Touareg,Kénitra,2
Velar,Casablanca,1
Velar,Rabat,1
X1,Casablanca,2
cayenne_coupe,Casablanca,1
classe_e_coupe,Casablanca,2
corolla_cross,Casablanca,1
corolla_prestige,الدار البيضاء,1
sq5,Tanger,1
