Modèle,mean,min,max
145,65000.0,65000.0,65000.0
190,65000.0,65000.0,65000.0
205,18000.0,18000.0,18000.0
206+,60000.0,60000.0,60000.0
220,111666.67,65000.0,150000.0
3008,nan,nan,nan
307,56000.0,56000.0,56000.0
310D,950000.0,950000.0,950000.0
407,29000.0,29000.0,29000.0
500,159000.0,159000.0,159000.0
A3,275000.0,275000.0,275000.0
A6,nan,nan,nan
ADAM,125000.0,125000.0,125000.0
Accord,80000.0,80000.0,80000.0
Astra,117000.0,117000.0,117000.0
Auris,85000.0,85000.0,85000.0
Bora,nan,nan,nan
C3,122000.0,122000.0,122000.0
C4,nan,nan,nan
CLASSE GLC COUPE,nan,nan,nan
Carens,65000.0,65000.0,65000.0
Cayenne,260000.0,260000.0,260000.0
Classe C,275000.0,275000.0,275000.0
Classe CLA,280000.0,280000.0,280000.0
Classe CLS,65000.0,65000.0,65000.0
Classe G,nan,nan,nan
Classe S,125000.0,125000.0,125000.0
Clio,60500.0,43000.0,78000.0
Corolla,80000.0,80000.0,80000.0
Corsa,38000.0,38000.0,38000.0
Dokker Van,nan,nan,nan
Duster,108000.0,108000.0,108000.0
EXPRESS,140000.0,140000.0,140000.0
Fiesta,95000.0,95000.0,95000.0
Focus,108000.0,108000.0,108000.0
GOLF 4,8200.0,8200.0,8200.0
GOLF 5,76000.0,76000.0,76000.0
GOLF 6,106999.0,106999.0,106999.0
GOLF 8,nan,nan,nan
Giulietta,165000.0,165000.0,165000.0
Gol,27000.0,27000.0,27000.0
Ibiza,82510.5,21.0,165000.0
Jetta,198000.0,198000.0,198000.0
K01h,79000.0,79000.0,79000.0
Kangoo,nan,nan,nan
Kyron,70000.0,70000.0,70000.0
Logan,103000.0,93000.0,113000.0
Macan,nan,nan,nan
Octavia,nan,nan,nan
Picanto,75500.0,48000.0,103000.0
Polo,73000.0,73000.0,73000.0
Q5,213333.33,190000.0,240000.0
Q8,nan,nan,nan
Qashqai,152500.0,122000.0,183000.0
R4,19000.0,19000.0,19000.0
RAPID,115000.0,115000.0,115000.0
RS3,nan,nan,nan
Range Rover Evoque,nan,nan,nan
Range Rover Sport,202500.0,95000.0,310000.0
Serie 5,nan,nan,nan
Serie 7,nan,nan,nan
Serie 8,nan,nan,nan
Tiguan,285000.0,285000.0,285000.0
Touareg,140000.0,140000.0,140000.0
Transit,nan,nan,nan
Tucson,208000.0,208000.0,208000.0
Uno,15000.0,15000.0,15000.0
X6,170000.0,170000.0,170000.0
XF,250000.0,250000.0,250000.0
classe_e_coupe,nan,nan,nan
doblo_panorama,nan,nan,nan
i 10,134000.0,134000.0,134000.0
i 30,145000.0,145000.0,145000.0
kona,169000.0,169000.0,169000.0
land_cruiser_prado,1150000.0,1150000.0,1150000.0
one,159000.0,159000.0,159000.0
pick up,nan,nan,nan
serie_1_coupe,160000.0,160000.0,160000.0
145,65000.0,65000.0,65000.0
190,65000.0,65000.0,65000.0
205,18000.0,18000.0,18000.0
206+,60000.0,60000.0,60000.0
220,111666.67,65000.0,150000.0
3008,nan,nan,nan
307,56000.0,56000.0,56000.0
310D,950000.0,950000.0,950000.0
407,29000.0,29000.0,29000.0
500,159000.0,159000.0,159000.0
A3,275000.0,275000.0,275000.0
A6,nan,nan,nan
